date, pm25, pm10, o3, no2, so2, co
2024/8/1, 52, , , , , 
2024/7/1, 101, 52, 7, 6, 4, 2
2024/7/2, 62, 51, 8, 6, 4, 2
2024/7/3, 51, 43, 9, 7, 4, 2
2024/7/4, 53, 37, 8, 8, 4, 2
2024/7/5, 49, 54, 10, 7, 3, 2
2024/7/6, 62, 39, 10, 8, 3, 2
2024/7/7, 63, 25, 20, 13, 3, 4
2024/7/8, 60, , , , , 
2024/7/11, 66, 31, 13, 9, 3, 3
2024/7/12, 50, 22, 9, 7, 3, 2
2024/7/13, 41, 29, 15, 9, 2, 2
2024/7/14, 53, 32, 17, 15, 2, 4
2024/7/15, 56, 30, 11, 10, 2, 3
2024/7/16, 52, 25, 8, 7, 2, 2
2024/7/17, 46, 17, 8, 7, 2, 2
2024/7/18, 24, 28, 7, 6, 2, 2
2024/7/19, 41, 24, 7, 6, 2, 2
2024/7/20, 48, 22, 8, 7, 2, 2
2024/7/21, 34, 33, 8, 7, 2, 2
2024/7/22, 50, 39, 6, 6, 2, 2
2024/7/23, 55, 39, 7, 5, 2, 1
2024/7/24, 51, 28, 8, 5, 2, 1
2024/7/25, 44, 46, 5, 3, 1, 1
2024/7/26, 55, 59, 4, 2, 2, 
2024/7/27, 44, 134, 5, 3, 2, 1
2024/7/28, 56, 114, 10, 6, 2, 1
2024/7/29, 59, 46, 9, 7, 2, 2
2024/7/30, 59, 36, 9, 8, 2, 2
2024/7/31, 55, 40, 10, 9, 2, 2
2024/4/1, 142, , , , , 
2024/4/3, 149, 88, 15, 9, 7, 8
2024/4/4, 122, 117, 12, 6, 7, 5
2024/4/5, 117, , , , , 
2024/4/7, 139, 94, 21, 8, 7, 6
2024/4/8, 127, 99, 24, 19, 6, 6
2024/4/9, 126, 95, 19, 16, 6, 5
2024/4/10, 119, 94, 24, 20, 6, 6
2024/4/11, 117, , , , , 
2024/4/13, 104, 85, 22, 18, 8, 5
2024/4/14, 101, 98, 26, 20, 8, 6
2024/4/15, 131, 122, 33, 27, 7, 9
2024/4/16, 159, 94, 19, 16, 6, 5
2024/4/17, 115, 111, 22, 20, 7, 6
2024/4/18, 138, 94, 24, 18, 7, 6
2024/4/19, 112, 100, 22, 20, 7, 6
2024/4/20, 107, 76, 24, 19, 9, 6
2024/4/21, 84, 98, 21, 15, 8, 5
2024/4/22, 103, 86, 16, 13, 7, 4
2024/4/23, 96, 91, 16, 15, 6, 4
2024/4/24, 112, 103, 14, 12, 5, 4
2024/4/25, 100, , , , , 
2024/4/27, 119, 115, 23, 18, 5, 5
2024/4/28, 146, 109, 22, 17, 5, 5
2024/4/29, 124, 174, 25, 19, 6, 6
2024/4/30, 158, 90, 21, 12, 6, 4
2024/5/1, 87, 108, 12, 11, 6, 3
2024/5/2, 96, 125, 14, 12, 6, 4
2024/5/3, 118, 264, 12, 11, 6, 3
2024/5/4, 101, 126, 16, 13, 8, 4
2024/5/5, 167, 162, 20, 12, 8, 3
2024/5/6, 170, 132, 9, 9, 9, 2
2024/5/7, 162, 277, 11, 9, 9, 2
2024/5/8, 213, , 11, 10, 9, 3
2024/5/9, 834, 61, 13, 11, 7, 3
2024/5/10, 146, 80, 16, 13, 7, 4
2024/5/11, 87, , , , , 
2024/5/13, 90, 82, 27, 21, 7, 7
2024/5/14, 116, 90, 24, 23, 8, 8
2024/5/15, 143, 101, 17, 16, 8, 5
2024/5/16, 75, 80, 28, 22, 9, 7
2024/5/17, 123, 64, 16, 13, 9, 4
2024/5/18, 331, 72, 13, 11, 9, 3
2024/5/19, 109, 55, 12, 11, 10, 3
2024/5/20, 83, 78, 15, 12, 9, 4
2024/5/21, 122, 70, 25, 14, 8, 4
2024/5/22, 110, 80, 7, 6, 7, 1
2024/5/23, 122, 69, 7, 5, 7, 1
2024/5/24, 108, 64, 6, 5, 7, 1
2024/5/25, 99, 54, 7, 5, 7, 1
2024/5/26, 81, 67, 7, 6, 7, 2
2024/5/27, 99, 63, 6, 4, 7, 1
2024/5/28, 96, 76, 5, 4, 7, 1
2024/5/29, 120, 107, 6, 5, 7, 1
2024/5/30, 109, 143, 7, 6, 6, 1
2024/5/31, 130, 78, 5, 4, 6, 1
2024/6/1, 52, 51, 5, 5, 6, 1
2024/6/2, 34, 70, 8, 6, 5, 2
2024/6/3, 58, 74, 8, 6, 4, 2
2024/6/4, 64, 62, 7, 6, 4, 1
2024/6/5, 54, 55, 14, 9, 4, 2
2024/6/6, 54, 64, 7, 7, 4, 2
2024/6/7, 57, 179, 10, 7, 4, 2
2024/6/8, 171, 36, 8, 7, 4, 2
2024/6/9, 44, 34, 10, 9, 3, 2
2024/6/10, 55, 38, 14, 10, 3, 3
2024/6/11, 48, 74, 17, 10, 3, 3
2024/6/12, 43, 44, 17, 12, 3, 3
2024/6/13, 37, 40, 14, 10, 3, 3
2024/6/14, 33, 50, 12, 10, 3, 3
2024/6/15, 34, 53, 11, 10, 3, 3
2024/6/16, 37, 40, 12, 10, 3, 3
2024/6/17, 42, 54, 16, 13, 3, 4
2024/6/18, 56, 46, 16, 12, 2, 4
2024/6/19, 57, 41, 21, 20, 2, 6
2024/6/20, 56, 43, 13, 10, 2, 3
2024/6/21, 51, 32, 15, 12, 2, 3
2024/6/22, 54, 48, 15, 12, 2, 3
2024/6/23, 56, 43, 13, 10, 2, 3
2024/6/24, 218, 50, 11, 9, 3, 3
2024/6/25, 42, 32, 11, 9, 3, 2
2024/6/26, 35, 19, 13, 10, 2, 3
2024/6/27, 42, 31, 18, 12, 2, 4
2024/6/28, 56, 43, 17, 11, 2, 3
2024/6/29, 57, 49, 11, 7, 2, 2
2024/6/30, 55, 105, 8, 6, 2, 2
2024/1/1, 150, 98, 19, 12, 6, 12
2024/1/2, 162, 107, 17, 9, 4, 9
2024/1/3, 163, 103, 18, 10, 4, 10
2024/1/4, 152, 98, 16, 8, 5, 7
2024/1/5, 147, 84, 16, 7, 6, 6
2024/1/6, 142, 98, 17, 8, 6, 8
2024/1/7, 139, 73, 13, 4, 7, 4
2024/1/8, 121, 102, 16, 8, 7, 7
2024/1/9, 144, 54, 10, 2, 4, 2
2024/1/10, 84, 74, 15, 8, 4, 8
2024/1/11, 133, 122, 18, 7, 1, 6
2024/1/12, 171, 93, 14, 6, 1, 5
2024/1/13, 144, 84, 12, 5, 1, 4
2024/1/14, 138, 41, 13, 6, 2, 6
2024/1/15, 49, 82, 16, 9, 2, 8
2024/1/16, 111, 88, 18, 9, 2, 9
2024/1/17, 120, 88, 18, 9, 5, 8
2024/1/18, 120, 113, 18, 10, 5, 10
2024/1/19, 148, 110, 21, 12, 5, 12
2024/1/20, 149, 79, 17, 11, 5, 10
2024/1/21, 129, 88, 20, 11, 6, 10
2024/1/22, 130, 87, 19, 11, 6, 10
2024/1/23, 115, 87, 17, 10, 5, 9
2024/1/24, 118, 79, 18, 10, 4, 9
2024/1/25, 107, 93, 23, 14, 5, 13
2024/1/26, 130, 93, 22, 15, 5, 14
2024/1/27, 144, 191, 22, 14, 5, 13
2024/1/28, 124, 81, 20, 11, 5, 10
2024/1/29, 168, 120, 19, 12, 6, 11
2024/1/30, 176, 156, 19, 10, 6, 10
2024/1/31, 138, 96, 20, 13, 7, 12
2024/2/1, 125, 75, 17, 10, 6, 9
2024/2/2, 99, 90, 17, 10, 5, 9
2024/2/3, 122, 111, 21, 14, 5, 13
2024/2/4, 151, 113, 24, 15, 4, 14
2024/2/5, 145, 168, 22, 15, 3, 14
2024/2/6, 172, 164, 20, 10, 6, 9
2024/2/7, 179, 87, 16, 7, 7, 7
2024/2/8, 121, 136, 19, 11, 7, 10
2024/2/9, 138, 141, 16, 9, 6, 8
2024/2/10, 166, 101, 17, 9, 7, 9
2024/2/11, 132, 121, 20, 13, 7, 12
2024/2/12, 151, 131, 20, 13, 9, 12
2024/2/13, 152, 91, 17, 9, 10, 8
2024/2/14, 132, 119, 17, 10, 8, 10
2024/2/15, 156, 230, 22, 14, 7, 13
2024/2/16, 176, 179, 23, 15, 3, 14
2024/2/17, 177, 91, 16, 9, 4, 9
2024/2/18, 142, 118, 19, 10, 4, 10
2024/2/19, 131, 87, 17, 8, 5, 8
2024/2/20, 88, 114, 17, 7, 4, 7
2024/2/21, 98, 76, 13, 6, 4, 5
2024/2/22, 75, 125, 16, 8, 5, 8
2024/2/23, 123, 133, 16, 10, 5, 9
2024/2/24, 162, 108, 16, 9, 6, 8
2024/2/25, 128, 168, 23, 15, 5, 15
2024/2/26, 171, 183, 23, 16, 4, 15
2024/2/27, 176, 131, 19, 13, 5, 12
2024/2/28, 160, 148, 21, 12, 5, 12
2024/2/29, 154, 276, 20, 14, 6, 13
2024/3/1, 259, 108, 17, 8, 6, 7
2024/3/2, 109, 84, 13, 6, 6, 5
2024/3/3, 69, 67, 14, 6, 6, 6
2024/3/4, 77, 113, 17, 9, 7, 9
2024/3/5, 129, 195, 21, 14, 8, 13
2024/3/6, 153, 210, 22, 15, 9, 14
2024/3/7, 166, 98, 18, 9, 10, 9
2024/3/8, 122, 108, 18, 11, 9, 10
2024/3/9, 138, 195, 22, 13, 7, 12
2024/3/10, 139, 116, 21, 13, 8, 12
2024/3/11, 143, 205, 18, 11, 6, 11
2024/3/12, 146, 93, 14, 5, 4, 5
2024/3/13, 98, 126, 14, 7, 4, 7
2024/3/14, 132, , , , , 
2024/3/16, 119, 165, , 6, 6, 
2024/3/17, 129, 113, 12, 5, 6, 4
2024/3/18, 131, 120, 12, 5, 6, 4
2024/3/19, 134, 198, 17, 9, 4, 8
2024/3/20, 150, 269, 19, 10, 4, 10
2024/3/21, 170, 168, 21, 10, 5, 10
2024/3/22, 168, 117, 18, 7, 5, 7
2024/3/23, 155, 99, 15, 7, 3, 7
2024/3/24, 139, 108, 19, 11, 3, 11
2024/3/25, 168, 95, 13, 6, 3, 6
2024/3/26, 128, 97, 12, 5, 3, 4
2024/3/27, 111, 105, 14, 6, 3, 6
2024/3/28, 121, 98, 16, 7, 4, 7
2024/3/29, 132, 114, 14, 6, 4, 5
2024/3/30, 133, 109, 15, 7, 3, 6
2024/3/31, 133, 112, 15, 8, 4, 7
2023/10/1, 103, 61, , 4, 6, 6
2023/10/2, 86, 77, , 4, 7, 5
2023/10/3, 84, 101, , 5, 6, 7
2023/10/4, 112, 92, , 5, 6, 6
2023/10/5, 113, 79, , 5, 7, 6
2023/10/6, 109, 81, , 5, 6, 6
2023/10/7, 123, 89, , 4, 6, 7
2023/10/8, 143, 95, , 4, 6, 7
2023/10/9, 123, 90, , 3, 6, 5
2023/10/10, 125, 76, , 2, 9, 4
2023/10/11, 108, 89, , 2, 9, 5
2023/10/12, 145, 111, , 2, 8, 6
2023/10/13, 159, 122, , 2, 9, 7
2023/10/14, 166, 113, , 2, 9, 6
2023/10/15, 165, 102, , 2, 9, 6
2023/10/16, 162, 136, , 2, 9, 8
2023/10/17, 170, 117, , 2, 9, 7
2023/10/18, 172, 95, , 2, 9, 6
